temp,burnin,iterations,observable
1e-6,100000,100000000,3.4999769661494016
1.2589e-6,100000,100000000,3.4988480097267467
1.5848e-6,100000,100000000,3.4992786465118026
1.9952e-6,100000,100000000,3.498870765991269
2.5118e-6,100000,100000000,3.4992177680319005
3.1622e-6,100000,100000000,3.4988283002914113
3.981e-6,100000,100000000,3.5002768950666763
5.0118e-6,100000,100000000,3.4998106271954335
6.3095e-6,100000,100000000,3.499961015169793
7.9432e-6,100000,100000000,3.500130814068792
0.00001,100000,100000000,3.5001699559183668
0.000012589,100000,100000000,3.50077130412806
0.000015848,100000,100000000,3.5007988066358893
0.000019952,100000,100000000,3.49963385773673
0.000025118,100000,100000000,3.499602153052009
0.000031622,100000,100000000,3.5003186329162572
0.00003981,100000,100000000,3.49937951765876
0.000050118,100000,100000000,3.5001947227498085
0.000063095,100000,100000000,3.500379427394082
0.000079432,100000,100000000,3.499606413209985
0.0001,100000,100000000,3.5008047643670683
0.00012589,100000,100000000,3.5006253410489703
0.00015848,100000,100000000,3.499934609952687
0.00019952,100000,100000000,3.5007083280214117
0.00025118,100000,100000000,3.499291885976795
0.00031622,100000,100000000,3.5007055665224356
0.0003981,100000,100000000,3.4997171179239888
0.00050118,100000,100000000,3.4993588627595478
0.00063095,100000,100000000,3.499840404072066
0.00079432,100000,100000000,3.500402898031147
0.001,100000,100000000,3.5000118693588687
0.0012589,100000,100000000,3.500260668418006
0.0015848,100000,100000000,3.499041021791329
0.0019952,100000,100000000,3.500319594069789
0.0025118,100000,100000000,3.4998359586903494
0.0031622,100000,100000000,3.500621084001819
0.003981,100000,100000000,3.499478634297201
0.0050118,100000,100000000,3.4998789906035297
0.0063095,100000,100000000,3.5011664461424243
0.0079432,100000,100000000,3.5006503766679944
0.01,100000,100000000,3.49922660920944
0.012589,100000,100000000,3.499139609108596
0.015848,100000,100000000,3.5003161920048678
0.019952,100000,100000000,3.5006936954361403
0.025118,100000,100000000,3.499943956611263
0.031622,100000,100000000,3.499872857347794
0.03981,100000,100000000,3.500156039058068
0.050118,100000,100000000,3.5004216222694255
0.063095,100000,100000000,3.4995824146798173
0.079432,100000,100000000,3.4989021726207983
0.1,100000,100000000,3.5003083899660212
0.12589,100000,100000000,3.4994490916671097
0.15848,100000,100000000,3.5009716643281044
0.19952,100000,100000000,3.499815539228721
0.25118,100000,100000000,3.496300176320273
0.31622,100000,100000000,3.4721279111429997
0.3981,100000,100000000,3.347141438886137
0.50118,100000,100000000,2.9248735493809037
0.63095,100000,100000000,2.0342764826171367
0.79432,100000,100000000,0.9922668951189704
1.0,100000,100000000,0.331623
1.2589,100000,100000000,0.07853589740491289
1.5848,100000,100000000,0.012481060703971081
1.9952,100000,100000000,0.001291891999999986
2.5118,100000,100000000,0.00006073532400000035
3.1622,100000,100000000,9.486599999999999e-7
3.981,100000,100000000,0.0
5.0118,100000,100000000,0.0
6.3095,100000,100000000,0.0
7.9432,100000,100000000,0.0
10.0,100000,100000000,0.0
12.589,100000,100000000,0.0
15.848,100000,100000000,0.0
19.952,100000,100000000,0.0
25.118,100000,100000000,0.0
31.622,100000,100000000,0.0
39.81,100000,100000000,0.0
50.118,100000,100000000,0.0
63.095,100000,100000000,0.0
79.432,100000,100000000,0.0
100.0,100000,100000000,0.0
