index,m,n,a,b,corr
0,-0.00003298426796986726,16.0,290152415.54179543,-290152415.51355803,-30317.483501939438
1,-4.66493577276877e-6,16.0,13754266158.47491,-13754266158.460287,-214365.22359802437
2,0.03966590408971291,16.0,174.86401880704645,-174.8477111962297,25.21056869744571
3,6.882523651666376e-6,16.0,5687105034.650934,-5687105034.677963,145295.54137571077
4,0.03210161999824142,16.0,247.82122095093118,-247.8061658666633,31.15107586641365
5,0.03489472002298177,16.0,200.62617439550144,-200.6116156855166,28.657630705774306
6,0.08394650169987591,16.0,31.581756572329564,-31.581440054740643,11.912348695305765
7,0.11535971167450854,16.0,15.185545466251948,-15.175256251014076,8.668537615814566
8,0.1457106874117174,16.0,8.390002009917445,-8.39864591697332,6.862914572452868
9,0.1831000193510698,16.0,4.560842939933205,-4.562685085503694,5.461495872824753
10,0.21837408618012544,16.0,2.7234715659906583,-2.715466495202695,4.57929792628944
11,0.2458686385273372,16.0,1.8399285936055931,-1.8543754265851395,4.067212500096119
12,0.28257045623438926,16.0,1.1451108926904503,-1.1482082264698144,3.5389403879169534
13,0.32161417040804063,16.0,0.7074403268355043,-0.7097007926806879,3.1093157329830112
14,0.36374837918730046,16.0,0.4219438419999848,-0.4123161568769879,2.749153143264131
15,0.41596268624464805,16.0,0.23690873601728363,-0.23735827773207166,2.404061789840089
16,0.45006004099614166,16.0,0.15980566153196143,-0.15204201620569227,2.221925763030744
17,0.4929533296052002,16.0,0.09897498398097113,-0.09228295551748561,2.028589604620151
18,0.5413674274159479,16.0,0.058383701954210464,-0.044297586002433456,1.8471743022538216
19,0.5839296513100063,16.0,0.036470325677615364,-0.027870609303080038,1.7125350592431268
20,0.6403644058585627,16.0,0.0205555859824267,-0.009606947152767557,1.5616108435309723
21,0.6736965381888743,16.0,0.014098592891027226,-0.0076843440648823105,1.4843478381057746
22,0.7388970898834415,16.0,0.0073679436497706636,0.0015783988345678267,1.3533684374880224
23,0.8003827027263433,16.0,0.004054321895917843,-0.006960895930229339,1.2494023129106868
24,0.8571285816662344,16.0,0.002281944045836635,-0.002747084366201299,1.1666860975001294
25,0.9543832674898116,16.0,0.0009310169147213918,0.0016274238911938015,1.0477970790814135
